City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1409,Bom Jesus,BR,76.84,overcast clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
1414,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1416,Funadhoo,MV,82.15,clear sky,6.15,73.27,Dhaffalhu Tourist Lodge
1417,Tual,ID,83.77,overcast clouds,-5.67,132.75,Grand Vilia Hotel
1419,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
1420,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1421,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1425,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
1431,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1444,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1445,Dingle,PH,76.17,light rain,11.0,122.67,SEGAYA PROPERTY
1446,East London,ZA,70.12,clear sky,-33.02,27.91,Tu Casa
1448,Baracoa,CU,76.95,clear sky,20.35,-74.5,Hostal Rio Miel
1449,Mantena,BR,72.16,light rain,-18.78,-40.98,Hotel Estrela De Minas
1450,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1451,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1456,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
1458,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
1462,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
1464,Nabire,ID,77.45,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
1469,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1471,Hithadhoo,MV,81.27,few clouds,-0.6,73.08,Scoop Guest House
1475,Lorengau,PG,83.93,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
1479,Dhidhdhoo,MV,81.46,few clouds,6.88,73.1,Dhidhoo beach
1480,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1484,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
1485,Faanui,PF,80.94,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1486,Port Macquarie,AU,70.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
1489,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1491,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1495,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1496,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1497,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1501,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1513,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
1514,Uberlandia,BR,72.7,light rain,-18.92,-48.28,Comfort Uberlândia
1521,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1530,Presidencia Roque Saenz Pena,AR,71.15,light rain,-26.79,-60.44,Hotel Aconcagua
1531,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1533,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1538,Kinablangan,PH,77.67,light rain,7.69,126.55,Danny Moreno Property
1543,Geraldton,AU,71.6,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
1548,Port-Gentil,GA,80.6,light rain,-0.72,8.78,Fengshui Residence
1549,Bambous Virieux,MU,80.01,shower rain,-20.34,57.76,Casa Tia Villa
1550,Grand Gaube,MU,80.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
1557,Pangkalanbuun,ID,73.44,light rain,-2.68,111.62,Grand Kecubung Hotel
1559,San Luis,AR,86.31,broken clouds,-33.3,-66.34,Huarpes Hotel
1560,Pundaguitan,PH,80.92,moderate rain,6.37,126.17,Leonardo Family Beach House 1
1563,Panama City,PA,82.99,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
1566,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1572,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1577,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1581,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1582,Santa Isabel Do Rio Negro,BR,80.13,light rain,-0.41,-65.02,Hotel GSA
1584,Kirakira,SB,84.88,broken clouds,-10.45,161.92,SanBiz Lodge
1585,Sola,VU,86.0,broken clouds,-13.88,167.55,Ulkel Guest House
1587,Bengkulu,ID,74.17,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
1588,Puerto Carreno,CO,83.16,light rain,6.19,-67.49,Casa Hotel Victoria
1589,Mahebourg,MU,78.8,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1591,Guerrero Negro,MX,71.2,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
1592,Kavaratti,IN,81.91,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
1595,Mitsamiouli,KM,82.54,light rain,-11.38,43.28,Foyer ADM
1596,Vila Velha,BR,79.0,light rain,-20.33,-40.29,Hotel Vitória Palace
1606,Bhavnagar,IN,72.21,clear sky,21.77,72.15,Hotel Mausam
1608,Chuy,UY,71.17,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
1609,Samarai,PG,84.13,overcast clouds,-10.62,150.67,Nuli Sapi
1610,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1616,Roebourne,AU,84.63,light rain,-20.78,117.13,Harding River Caravan Park
