City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
312,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
315,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
317,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
318,East London,ZA,70.12,clear sky,-33.02,27.91,Tu Casa
323,Foz Do Iguacu,BR,87.8,clear sky,-25.55,-54.59,Turrance Green Hotel
329,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
331,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
333,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
337,Saint-Philippe,RE,80.6,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
349,Saint-Philippe,RE,80.6,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
350,Cidreira,BR,72.86,clear sky,-30.18,-50.21,Hotel Castelo
358,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
362,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
364,Biak,ID,76.57,moderate rain,-0.91,122.88,Penginapan Kim
366,San Cristobal,VE,84.2,light rain,7.77,-72.22,Pirineos
370,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
373,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
