City_DF,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Devils Lake,US,48.11,-98.87,35.6,64,1,11.41,clear sky
137,Matay,EG,28.42,30.78,52.88,67,0,10.78,clear sky
138,Bubaque,GW,11.28,-15.83,79.36,64,51,18.1,broken clouds
139,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
140,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
141,Ostrovnoy,RU,68.05,39.51,10.53,93,100,12.03,overcast clouds
142,San Carlos De Bariloche,AR,-41.15,-71.31,77.0,29,40,18.34,scattered clouds
143,Deputatskiy,RU,69.3,139.9,-23.87,88,95,5.75,overcast clouds
144,Codrington,AU,-38.27,141.97,58.32,65,0,6.02,clear sky
145,Pisco,PE,-13.7,-76.22,73.4,73,0,10.29,clear sky
146,Mana,GF,5.66,-53.78,77.31,88,99,7.45,light rain
147,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
148,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
149,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
150,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
151,Arraial Do Cabo,BR,-22.97,-42.03,73.4,94,75,4.7,moderate rain
152,Trairi,BR,-3.28,-39.27,79.79,73,91,12.62,overcast clouds
153,Stornoway,GB,58.21,-6.39,42.8,87,40,16.11,scattered clouds
154,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
155,Gueret,FR,46.17,1.87,35.01,100,90,11.41,overcast clouds
156,Svetlaya,RU,46.54,138.33,5.79,80,99,7.52,overcast clouds
157,Vigrestad,NO,58.57,5.7,33.8,91,90,10.29,light intensity drizzle
158,Qaanaaq,GL,77.48,-69.36,-3.95,85,98,4.14,overcast clouds
159,Granadilla De Abona,ES,28.12,-16.58,69.01,48,20,4.7,few clouds
160,Ban Dung,TH,17.7,103.26,69.01,80,21,5.17,few clouds
161,Bathsheba,BB,13.22,-59.52,80.6,74,40,14.99,scattered clouds
162,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
163,Eichstatt,DE,48.88,11.18,34.0,74,75,3.36,broken clouds
164,Ajdabiya,LY,30.76,20.23,57.38,80,6,3.76,clear sky
165,Portland,US,45.52,-122.68,39.99,86,90,16.11,overcast clouds
166,Saint-Pierre,RE,-21.34,55.48,80.6,78,0,3.36,clear sky
167,Bluff,NZ,-46.6,168.33,51.28,54,13,7.07,few clouds
168,Sheffield,GB,53.38,-1.47,39.0,85,98,1.01,overcast clouds
169,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
170,Sambava,MG,-14.27,50.17,77.22,78,100,5.86,overcast clouds
171,Dwarahat,IN,29.78,79.43,40.62,49,0,4.25,clear sky
172,Saskylakh,RU,71.92,114.08,-19.01,84,94,11.39,overcast clouds
173,Ferkessedougou,CI,9.6,-5.2,79.36,25,0,2.66,clear sky
174,Zhigansk,RU,66.77,123.37,-27.38,84,69,2.06,broken clouds
175,Butaritari,KI,3.07,172.79,80.29,75,100,19.01,overcast clouds
176,Port Alfred,ZA,-33.59,26.89,70.0,85,90,1.99,overcast clouds
177,Saint-Pierre,RE,-21.34,55.48,80.6,78,0,3.36,clear sky
178,Hilo,US,19.73,-155.09,80.6,57,75,4.7,broken clouds
179,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
180,Kapaa,US,22.08,-159.32,73.4,94,90,20.8,light rain
181,Muzhi,RU,65.37,64.67,-38.9,82,64,2.55,broken clouds
182,Pevek,RU,69.7,170.31,-10.1,91,97,7.02,overcast clouds
183,Koshurnikovo,RU,54.17,93.3,-16.83,90,98,2.39,overcast clouds
184,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
185,Butaritari,KI,3.07,172.79,80.29,75,100,19.01,overcast clouds
186,Ribeira Grande,PT,38.52,-28.7,57.2,67,40,24.16,scattered clouds
187,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
188,Byron Bay,AU,-28.65,153.62,71.6,83,73,5.82,broken clouds
189,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
190,East London,ZA,-33.02,27.91,70.12,68,1,5.21,clear sky
191,Pevek,RU,69.7,170.31,-10.1,91,97,7.02,overcast clouds
192,Qaanaaq,GL,77.48,-69.36,-3.95,85,98,4.14,overcast clouds
193,Hornepayne,CA,49.21,-84.77,4.96,93,100,2.68,overcast clouds
194,Pangnirtung,CA,66.15,-65.71,-17.37,80,14,2.04,few clouds
195,Bonavista,CA,48.65,-53.11,39.2,93,98,9.17,overcast clouds
196,Victoria,HK,22.29,114.16,64.0,81,55,1.99,broken clouds
197,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
198,Jamestown,US,42.1,-79.24,21.99,92,90,16.44,light snow
199,Saint-Pierre,RE,-21.34,55.48,80.6,78,0,3.36,clear sky
200,Fairbanks,US,64.84,-147.72,21.0,77,75,2.28,broken clouds
201,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
202,Ahipara,NZ,-35.17,173.17,64.35,73,87,12.44,overcast clouds
203,Lasa,IT,46.62,10.7,35.01,63,90,9.17,overcast clouds
204,Punta Arenas,CL,-53.15,-70.92,57.2,50,40,19.46,scattered clouds
205,Sungairaya,ID,0.7,108.9,77.49,88,100,6.26,overcast clouds
206,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
207,Tuktoyaktuk,CA,69.45,-133.04,5.0,84,90,2.24,fog
208,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
209,Nikolskoye,RU,59.7,30.79,26.6,86,90,6.71,light shower snow
210,Bowling Green,US,36.99,-86.44,19.4,57,90,9.17,overcast clouds
211,Upernavik,GL,72.79,-56.15,-4.36,91,86,9.37,overcast clouds
212,Berdigestyakh,RU,62.1,126.7,-37.88,81,100,2.04,overcast clouds
213,Taksimo,RU,56.34,114.88,-30.3,72,0,0.13,clear sky
214,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
215,Norman Wells,CA,65.28,-126.83,-7.6,76,20,2.64,few clouds
216,Puerto Ayora,EC,-0.74,-90.35,84.2,62,75,14.99,broken clouds
217,Nanortalik,GL,60.14,-45.24,21.76,90,100,10.87,overcast clouds
218,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
219,Oussouye,SN,12.48,-16.55,73.4,78,0,2.24,clear sky
220,Hervey Bay,AU,-25.3,152.85,79.0,61,4,5.99,clear sky
221,Marzuq,YE,14.4,46.47,58.64,36,3,4.16,clear sky
222,Chokurdakh,RU,70.63,147.92,-21.24,88,100,9.4,overcast clouds
223,Thompson,CA,55.74,-97.86,10.4,78,90,12.75,light snow
224,Beringovskiy,RU,63.05,179.32,-6.29,91,100,14.99,light snow
225,Florianopolis,BR,-27.61,-48.5,77.0,73,75,13.87,broken clouds
226,Urcos,PE,-13.69,-71.62,60.8,48,75,11.41,shower rain
227,Saint-Pierre,RE,-21.34,55.48,80.6,78,0,3.36,clear sky
228,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
229,Biltine,TD,14.53,20.92,68.77,31,0,13.09,clear sky
230,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
231,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
232,Tiksi,RU,71.69,128.87,-20.83,88,73,5.88,broken clouds
233,Nhulunbuy,AU,-12.23,136.77,78.8,94,100,2.21,overcast clouds
234,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
235,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
236,Khor,RU,47.89,134.95,-1.46,86,92,12.8,overcast clouds
237,Port Alfred,ZA,-33.59,26.89,70.0,85,90,1.99,overcast clouds
238,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
239,Sorgun,TR,39.81,35.19,33.22,89,4,3.91,clear sky
240,Harper,LR,4.38,-7.72,78.89,82,83,4.27,broken clouds
241,Dhidhdhoo,MV,6.88,73.1,81.46,80,21,15.28,few clouds
242,Chifeng,CN,42.27,118.96,9.16,88,93,2.33,overcast clouds
243,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
244,Ribeira Grande,PT,38.52,-28.7,57.2,67,40,24.16,scattered clouds
245,Punta Arenas,CL,-53.15,-70.92,57.2,50,40,19.46,scattered clouds
246,Vila Franca Do Campo,PT,37.72,-25.43,55.4,71,40,21.92,light rain
247,Shelburne,CA,44.08,-80.2,25.0,92,100,12.35,light snow
248,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
249,Port Augusta,AU,-32.5,137.77,75.0,72,0,3.36,clear sky
250,Barrow,US,71.29,-156.79,-7.6,76,40,16.11,scattered clouds
251,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
252,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
253,Yellowknife,CA,62.46,-114.35,5.0,84,90,2.24,light snow
254,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
255,Alekseyevsk,RU,57.84,108.35,-30.98,80,0,4.68,clear sky
256,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
257,Pangnirtung,CA,66.15,-65.71,-17.37,80,14,2.04,few clouds
258,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
259,Sisimiut,GL,66.94,-53.67,9.37,89,100,8.19,overcast clouds
260,Qaanaaq,GL,77.48,-69.36,-3.95,85,98,4.14,overcast clouds
261,Kaili,ID,-3.46,120.21,68.41,92,100,1.57,overcast clouds
262,Zhaotong,CN,27.32,103.72,36.25,84,100,4.65,overcast clouds
263,Nishihara,JP,26.18,127.76,62.6,67,20,12.75,few clouds
264,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
265,Geraldton,AU,-28.77,114.6,71.6,88,90,11.41,overcast clouds
266,Ibaiti,BR,-23.85,-50.19,69.78,80,40,8.1,scattered clouds
267,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
268,Gat,IL,31.61,34.76,57.99,57,0,3.0,clear sky
269,Breves,BR,-1.68,-50.48,80.92,71,84,4.99,broken clouds
270,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
271,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
272,Medicine Hat,CA,50.05,-110.67,33.8,59,90,3.36,overcast clouds
273,Komsomolskiy,UZ,40.43,71.72,32.0,74,100,2.24,fog
274,Punta Arenas,CL,-53.15,-70.92,57.2,50,40,19.46,scattered clouds
275,Avarua,CK,-21.21,-159.78,80.6,74,89,6.93,overcast clouds
276,New Norfolk,AU,-42.78,147.06,61.0,56,4,3.11,clear sky
277,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
278,Tasiilaq,GL,65.61,-37.64,21.2,62,46,16.11,scattered clouds
279,Namibe,AO,-15.2,12.15,70.97,80,62,5.35,broken clouds
280,Bambous Virieux,MU,-20.34,57.76,80.01,88,75,11.41,shower rain
281,Hermanus,ZA,-34.42,19.23,64.0,93,7,2.15,clear sky
282,Shieli,KZ,44.17,66.75,23.05,92,49,6.82,scattered clouds
283,Faanui,PF,-16.48,-151.75,80.94,77,100,14.72,light rain
284,Kruisfontein,ZA,-34.0,24.73,69.01,82,28,1.99,light rain
285,Dikson,RU,73.51,80.55,-15.45,85,0,7.74,clear sky
286,Talnakh,RU,69.49,88.4,-34.6,73,0,2.24,clear sky
287,Butaritari,KI,3.07,172.79,80.29,75,100,19.01,overcast clouds
288,East London,ZA,-33.02,27.91,70.12,68,1,5.21,clear sky
289,Vila Franca Do Campo,PT,37.72,-25.43,55.4,71,40,21.92,light rain
290,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
291,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
292,Jian,CN,27.12,114.98,47.89,80,33,1.23,scattered clouds
293,Moirang,IN,24.5,93.77,48.33,91,0,1.19,clear sky
294,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
295,Kapaa,US,22.08,-159.32,73.4,94,90,20.8,light rain
296,Mexicali,MX,32.65,-115.47,72.0,11,5,4.7,clear sky
297,Kavaratti,IN,10.57,72.64,81.91,73,0,4.81,clear sky
298,Ambilobe,MG,-13.2,49.05,75.27,89,38,2.33,light rain
299,Banda Aceh,ID,5.56,95.32,78.39,80,94,4.34,light rain
300,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
301,Mayo,US,38.89,-76.51,32.0,90,40,11.41,scattered clouds
302,Leh,IN,34.17,77.58,4.91,65,68,1.32,broken clouds
303,Mitsamiouli,KM,-11.38,43.28,82.54,73,93,7.54,light rain
304,Saldanha,ZA,-33.01,17.94,66.2,82,0,10.29,clear sky
305,Hilo,US,19.73,-155.09,80.6,57,75,4.7,broken clouds
306,Mayor Pablo Lagerenza,PY,-19.93,-60.77,93.18,39,98,5.41,overcast clouds
307,Esperance,AU,-33.87,121.9,62.6,93,90,10.29,overcast clouds
308,Puerto Escondido,MX,15.85,-97.07,80.6,78,40,6.93,scattered clouds
309,Anadyr,RU,64.75,177.48,-16.01,68,100,15.66,light snow
310,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
311,Iwanai,JP,42.97,140.51,21.83,88,100,15.97,light snow
312,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
313,Kruisfontein,ZA,-34.0,24.73,69.01,82,28,1.99,light rain
314,Hasaki,JP,35.73,140.83,26.6,86,0,3.36,clear sky
315,Carnarvon,AU,-24.87,113.63,73.4,100,90,19.46,overcast clouds
316,Punta Arenas,CL,-53.15,-70.92,57.2,50,40,19.46,scattered clouds
317,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
318,East London,ZA,-33.02,27.91,70.12,68,1,5.21,clear sky
319,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
320,Kaitangata,NZ,-46.28,169.85,50.0,74,15,5.99,few clouds
321,Oranjemund,NA,-28.55,16.43,64.09,89,7,13.69,clear sky
322,Severo-Kurilsk,RU,50.68,156.12,21.27,88,62,9.93,broken clouds
323,Foz Do Iguacu,BR,-25.55,-54.59,87.8,58,0,2.24,clear sky
324,Codrington,AU,-38.27,141.97,58.32,65,0,6.02,clear sky
325,Lamesa,US,32.74,-101.95,64.4,7,90,16.11,overcast clouds
326,Deputatskiy,RU,69.3,139.9,-23.87,88,95,5.75,overcast clouds
327,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
328,Kodiak,US,57.79,-152.41,37.4,93,90,6.93,overcast clouds
329,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
330,Castro,BR,-24.79,-50.01,66.27,79,16,9.48,few clouds
331,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
332,Shubarkuduk,KZ,49.14,56.49,6.66,95,29,3.29,scattered clouds
333,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
334,Yellowknife,CA,62.46,-114.35,5.0,84,90,2.24,light snow
335,Hermanus,ZA,-34.42,19.23,64.0,93,7,2.15,clear sky
336,Bilma,NE,18.69,12.92,59.99,36,35,7.83,scattered clouds
337,Saint-Philippe,RE,-21.36,55.77,80.6,78,0,3.36,light rain
338,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
339,Jamestown,US,42.1,-79.24,21.99,92,90,16.44,light snow
340,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
341,Castro,BR,-24.79,-50.01,66.27,79,16,9.48,few clouds
342,Aldan,RU,58.6,125.39,-31.59,84,100,0.81,overcast clouds
343,Fecamp,FR,49.76,0.37,41.0,75,90,10.29,overcast clouds
344,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
345,Taoudenni,ML,22.68,-3.98,69.58,23,94,7.56,overcast clouds
346,Orlovskiy,RU,46.87,42.06,25.65,96,100,13.42,snow
347,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
348,Torrevieja,ES,37.98,-0.68,48.0,28,0,4.0,clear sky
349,Saint-Philippe,RE,-21.36,55.77,80.6,78,0,3.36,light rain
350,Cidreira,BR,-30.18,-50.21,72.86,78,3,21.54,clear sky
351,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
352,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
353,Lompoc,US,34.64,-120.46,63.0,48,1,19.46,clear sky
354,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
355,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
356,Lompoc,US,34.64,-120.46,63.0,48,1,19.46,clear sky
357,Norman Wells,CA,65.28,-126.83,-7.6,76,20,2.64,few clouds
358,Puerto Ayora,EC,-0.74,-90.35,84.2,62,75,14.99,broken clouds
359,Jamestown,US,42.1,-79.24,21.99,92,90,16.44,light snow
360,Chokurdakh,RU,70.63,147.92,-21.24,88,100,9.4,overcast clouds
361,Praia,CV,14.92,-23.51,69.8,73,75,8.05,broken clouds
