City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2020-12-24 22:19:42,-21.21,-159.78,82.4,69,46,10.29
1,Saverne,FR,2020-12-24 22:20:40,48.83,7.25,41.0,93,90,13.87
2,San Rafael Del Sur,NI,2020-12-24 22:20:41,11.85,-86.44,89.6,66,20,11.41
3,Punta Arenas,CL,2020-12-24 22:20:41,-53.15,-70.92,55.4,56,40,35.57
4,Hofn,IS,2020-12-24 22:20:41,64.25,-15.21,44.62,91,100,36.24
5,Clyde River,CA,2020-12-24 22:20:41,70.47,-68.59,-14.8,83,6,3.58
6,Mar Del Plata,AR,2020-12-24 22:16:10,-38.0,-57.56,86.0,69,0,18.34
7,Svetlaya,RU,2020-12-24 22:20:42,46.54,138.33,10.56,83,0,9.24
8,Bandarbeyla,SO,2020-12-24 22:20:42,9.49,50.81,72.73,73,0,16.33
9,Boende,CD,2020-12-24 22:20:42,-0.22,20.87,72.63,95,100,1.07
10,Riyadh,SA,2020-12-24 22:18:08,24.69,46.72,55.4,54,0,4.7
11,Dikson,RU,2020-12-24 22:20:42,73.51,80.55,-16.74,88,79,9.98
12,Bayan,CN,2020-12-24 22:20:42,46.08,127.4,-8.19,92,92,2.01
13,Bredasdorp,ZA,2020-12-24 22:20:42,-34.53,20.04,55.4,87,3,3.36
14,Bluff,NZ,2020-12-24 22:20:43,-46.6,168.33,57.99,63,38,5.01
15,Nantucket,US,2020-12-24 22:16:30,41.28,-70.1,51.8,81,90,17.22
16,Mataura,NZ,2020-12-24 22:20:43,-46.19,168.86,57.99,63,6,5.01
17,Cape Town,ZA,2020-12-24 22:16:40,-33.93,18.42,66.99,87,0,4.7
18,Ust-Tsilma,RU,2020-12-24 22:20:44,65.44,52.15,-23.33,85,86,5.61
19,Sitka,US,2020-12-24 22:20:44,57.05,-135.33,39.2,80,20,3.36
20,Lebu,CL,2020-12-24 22:20:44,-37.62,-73.65,60.87,78,0,14.32
21,Hobart,AU,2020-12-24 22:20:19,-42.88,147.33,60.01,50,40,9.17
